Unnamed: 0,Scientific Name,Common Name,Order,Family,Role in Ecosystem
637,Papilio machaon," the Old World swallowtail,common yellow swallowtail, the swallowtail",Lepidoptera,Papilionidae,Pollinator
638,Chloroclysta siterata,red-green carpet,Lepidoptera,Geometridae,Unknown/Not Available
639,Carpocoris mediterraneus, red shield bug,Hemiptera,Pentatomidae,Pest
640,Olla v-nigrum,ashy gray lady beetle,Coleoptera,Coccinellidae,Predator
641,Orthonama obstipata,the gem,Lepidoptera,Geometridae,Pest
642,Calledapteryx dryopterata,brown scoopwing moth,Lepidoptera,Uraniidae,Pollinator
643,Catocala grynea, woody underwing,Lepidoptera,Erebidae,Pollinator
644,Apiomerus californicus,California Bee Assasin,Hemiptera,Reduviidae,Predator
645,Libellula incesta,slaty skimmer,Odonata,Libellulidae,Predator
646,Phaneroptera nana,"mediterranean katydid, southern sickle bush-cricket",Orthoptera,Tettigoniidae,Predator
647,Loxura atymnus,yamfly,Lepidoptera,Lycaenidae,Pollinator
648,Palthis angulalis,dark-spotted palthis,Lepidoptera,Erebidae,Pest
649,Megaphasma denticrus,Giant Walkingstick,Phasmida,Diapheromeridae,Herbivore
650,Pyralis farinalis,meal moth,Lepidoptera,Pyralidae,Pest
651,Spodoptera mauritia,"Lawn Armyworm, Paddy Swarming Caterpillar",Lepidoptera,Noctuidae,Pest
652,Megarhyssa atrata,Black Giant Ichneumonid Wasp,Hymenoptera,Ichneumonidae,Parasitoid
653,Zygaena lonicerae,Narrow-Banded Five-Spot Burnet,Lepidoptera,Zygaenidae,Pollinator
654,Dryadula phaetusa,"Banded Orange Heliconian, Banded Orange, 
Orange Tiger ",Lepidoptera,Nymphalidae,Pollinator
655,Elophila gyralis,Waterlily Borer Moth,Lepidoptera,Crambidae,Pest
656,Junonia hedonia,Chocolate Argus,Lepidoptera,Nymphalidae,Pollinator
657,Clepsis virescana,light brown apple moth,Lepidoptera,Tortricidae,Pest
658,Meloe proscarabaeus,Euaropean Oil Beetle,Coleoptera,Meloidae,Parasitoid
659,Wallengrenia egeremet,Wallengrenia egeremet,Lepidoptera,Hesperiidae,Pollinator
660,Erynnis funeralis,Funereal Duskywing,Lepidoptera,Hesperiidae,Pollinator
661,Hierodula patellifera,Giant Asian mantis,Mantodea,Mantidae,Predator
662,Ischnura kellicotti,the lilypad forktail,Odonata,Coenagrionidae,Predator
663,Papilio helenus,Red Helen,Lepidoptera,Papilionidae,Pollinator
664,Ocybadistes walkeri,"greenish grass-dart, green grass-dart, southern dart,yellow-banded dart,",Lepidoptera,Hesperiidae,Pollinator
665,Platycnemis pennipes,The white-legged damselfly or blue featherleg,Odonata,Platycnemididae,Predator
666,Halyzia sedecimguttata,orange ladybird,Coleoptera,Coccinellidae,Unknown/Not Available
667,Pyrausta laticlavia,"southern purple mint moth
",Lepidoptera,Crambidae,Pest
668,Volucella zonaria,Horrnet Mimic Hoverfly,Diptera,Syrphidae,Pollinator
669,Megachile xylocopoides,Carpenter-mimic Leafcutter Bee,Hymenoptera,Megachilidae,Pollinator
670,Endotricha flammealis,Rose-Floounced Tabby,Lepidoptera,Pyralidae,Pest
671,Lestes rectangularis,slender spreadwing,Odonata,Lestidae,Predator
672,Euclidia glyphica,Burnet companion moth,Lepidoptera,Erebidae,Pollinator
673,Dryocampa rubicunda,Rosy Maple Moth,Lepidoptera,Saturniidae,Pollinator
674,Phyllodesma americana,American lappet moth,Lepidoptera,Lasiocampidae,Pest
675,Anax imperator,Emperor Dragonfly,Odonata,Aeshnidae,Predator
676,Tolype laricis,"Larch Tolype, Larch Lappet Moth",Lepidoptera,Lasiocampidae,Pest
677,Malacosoma disstria,Forest Tent Caterpillar moth,Lepidoptera,Lasiocampidae,Pest
678,Agrius cingulata,"Pink-Spotted Hawkmoth, 
Sweetpotato Hornwrm",Lepidoptera,Sphingidae,Pest
679,Erythemis collocata,Western Pondhawk,Odonata,Libellulidae,Predator
680,Orocrambus flexuosellus,Grass moth,Lepidoptera,Crambidae,Herbivore
681,Cicindela scutellaris,festive tiger beetle,Coleoptera,Carabidae,Predator
682,Sphinx pinastri,pine hawkmoth,Lepidoptera,Sphingidae,Pest
683,Dysstroma citrata,"Dark Marbled Carpet Moth, 
Northern Marbled Carpet Moth",Lepidoptera,Geometridae,Unknown/Not Available
684,Leucorrhinia hudsonica,hudsonian whiteface,Odonata,Libellulidae,Predator
685,Cordulia aenea,Downy emerald,Odonata,Corduliidae,Predator
686,Agriphila vulgivagellus,"Vagabond Sod Webworm, Vagabond Crambus",Lepidoptera,Crambidae,Pest
687,Ypsolopha dentella,Eastern Honeysuckle Moth,Lepidoptera,Ypsolophidae,Pest
688,Bombus fervidus,"the golden northern bumble bee,yellow bumblebee",Hymenoptera,Apidae,Pollinator
689,Hypolimnas misippus,"Danaid eggfly, mimic,diadem",Lepidoptera,Nymphalidae,Pollinator
690,Apis florea,Dwarf Honey Bee,Hymenoptera,Apidae,Pollinator
691,Dysstroma truncata,Common Marbled Carpet Moth,Lepidoptera,Geometridae,Unknown/Not Available
692,Solenopsis invicta,red imported fire ant,Hymenoptera,Formicidae,"Invasive species, pest"
693,Eleodes osculans,Woody Darkling Beetle,Coleoptera,Tenebrionidae,Decomposer
694,Cossus cossus,Goat moth,Lepidoptera,Cossidae,Pest
695,Aquarius remigis,Common Water Strider,Hemiptera,Gerridae,Predator
696,Stomoxys calcitrans,"Stable Fly, Biting House Fly, Dog Fly, Power Mower Fly",Diptera,Muscidae,Pest
697,Cicadella viridis,Green leafhopper,Hemiptera,Cicadellidae,Pest
698,Plutella xylostella,Diamondback moth,Lepidoptera,Plutellidae,Pest
699,Historis odius,Orion Cecropian,Lepidoptera,Nymphalidae,Pollinator
700,Agrilus planipennis,Emerald Ash Borer,Coleoptera,Buprestidae,"Invasive species, pest"
701,Augochloropsis metallica,Metallic Epauletted-Sweat Bee,Hymenoptera,Halictidae,Pollinator
702,Cicindela duodecimguttata,Twelve-spotted tiger beetle,Coleoptera,Carabidae,Predator
703,Zonocerus elegans,Gaudy Grasshopper,Orthoptera,Pyrgomorphidae,Pest
704,Autographa californica,alfalfa looper,Lepidoptera,Noctuidae,Pest
705,Chauliognathus pensylvanicus,"Goldenrod Soldier Beetle, Pennsylvania
Leatherwing",Coleoptera,Cantharidae,"Pollinator, predator"
706,Euodynerus hidalgo,,Hymenoptera,Vespidae,Predator
707,Tropidacris collaris,Violet-winged Grasshopper,Orthoptera,Romaleidae,Herbivore
708,Euphoria basalis,,Coleoptera,Scarabaeidae,Pollinator
709,Copaeodes aurantiaca,Orange skipperling,Lepidoptera,Hesperiidae,Pollinator
710,Scolia hirta,scoliid wasps,Hymenoptera,Scoliidae,Parasitoid
711,Polygonia progne,Gray Comma,Lepidoptera,Nymphalidae,Pollinator
712,Vanessa braziliensis,Brazilian Painted Lady,Lepidoptera,Nymphalidae,Pollinator
713,Colotois pennaria,feathered thorn ,Lepidoptera,Geometridae,Pollinator
714,Acronicta innotata,"Umarked Dagger Moth, Birch Dagger Moth",Lepidoptera,Noctuidae,Pest
715,Phyprosopus callitrichoides,curve-lined owlet,Lepidoptera,Erebidae,Pest
716,Entylia carinata,Keeled Treehopper,Hemiptera,Membracidae,Herbivore
717,Gomphurus vastus,the cobra clubtail,Odonata,Gomphidae,Predator
718,Formica rufa,"red wood ant, southern wood ant,horse ant,",Hymenoptera,Formicidae,Predator
719,Dissosteira carolina,"Carolina Locust, Caroline Grasshopper, 
Black-Winged Grasshopper, Road-Duster, 
Quaker",Orthoptera,Acrididae,Pest
720,Cercyonis pegala,Common wood-nymph,Lepidoptera,Nymphalidae,Pollinator
721,Tirumala limniace,Blue Tiger,Lepidoptera,Nymphalidae,Pollinator
722,Gryllus bimaculatus,Two-spotted cricket,Orthoptera,Gryllidae,Decomposer
723,Tarache aprica,Exposed Bird Dropping Moth,Lepidoptera,Noctuidae,Pest
724,Gryllus pennsylvanicus,fall field cricket,Orthoptera,Gryllidae,Decomposer
725,Pseudozizeeria maha,Pale grass blue,Lepidoptera,Lycaenidae,Pollinator
726,Austrolestes colensonis, blue damselfly,Odonata,Lestidae,Predator
727,Lamprosema victoriae,,Lepidoptera,Crambidae,Pest
728,Epipaschia superatalis,Dimorphic Macalla Moth,Lepidoptera,Pyralidae,Pest
729,Neotibicen superbus,Superb Dog-Day Cicada,Hemiptera,Cicadidae,Pest
730,Epicauta pennsylvanica,Black blister beetle ,Coleoptera,Meloidae,Pest
731,Euclea incisa,slug caterpillar moth,Lepidoptera,Limacodidae,Pest
732,Nacoleia rhoeoalis,,Lepidoptera,Crambidae,Pest
733,Biston betularia,Pepper and Salt Geometer,Lepidoptera,Geometridae,Unknown/Not Available
734,Acronicta impleta,Yellow-Haired Dagger Moth,Lepidoptera,Noctuidae,Pest
735,Cycloneda sanguinea,spotless laybird,Coleoptera,Coccinellidae,Predator
736,Phloeodes diabolicus,diabolical ironclad beetle,Coleoptera,Zopheridae,Decomposer
737,Anisota virginiensis,Pink-Striped Oakworm Moth,Lepidoptera,Saturniidae,Pest
738,Tortricidia testacea,Warm-chevroned Moth,Lepidoptera,Limacodidae,Pollinator
739,Smerinthus jamaicensis,Twin-spotted sphinx,Lepidoptera,Sphingidae,Pollinator
740,Trigonodes hyppasia,"Triangles, Semi-looper",Lepidoptera,Erebidae,Pest
741,Hypolimnas bolina,Varied Eggfly,Lepidoptera,Nymphalidae,Pollinator
742,Hagenius brevistylus,Dragonhunter,Odonata,Gomphidae,Predator
743,Apatura ilia,Lesser Purple Emperor,Lepidoptera,Nymphalidae,Pollinator
744,Hypena palparia,"ariegated snout-moth, mottled bomolocha",Lepidoptera,Erebidae,Pest
745,Erythromma najas,Red-eyed damselfly,Odonata,Coenagrionidae,Predator
746,Oreta rosea,rose hooktip moth,Lepidoptera,Drepanidae,Pest
747,Orthodera novaezealandiae,"the New Zealand mantis, the New Zealand praying mantis",Mantodea,Mantidae,Predator
748,Phyllogomphoides albrighti,Five-striped Leaftail,Odonata,Gomphidae,Predator
749,Calosoma scrutator," fiery searcher,  caterpillar hunter",Coleoptera,Carabidae,Predator
750,Spilosoma curvata,Crimson tiger moth,Lepidoptera,Erebidae,Pollinator
751,Polistes canadensis,"Neotropical Red Paper Wasp,Red Paper Wasp",Hymenoptera,Vespidae,"Predator, pollinator"
752,Erynnis horatius,Horace's duskywing,Lepidoptera,Hesperiidae,Pollinator
753,Hellinsia homodactylus,,Lepidoptera,Pterophoridae,Unknown/Not Available
754,Arta statalis,Posturing Arta Moth,Lepidoptera,Pyralidae,Unknown/Not Available
755,Lithacodes fasciola,yellow shouldered slug moth,Lepidoptera,Limacodidae,Pest
756,Camponotus floridanus,Florida carpenter ant,Hymenoptera,Formicidae,Pest
757,Largus californicus,California bordered plant bug,Hemiptera,Largidae,Pest
758,Chiasmia emersaria,,Lepidoptera,Geometridae,Unknown/Not Available
759,Leptopterna dolabrata,meadow plant bug,Hemiptera,Miridae,Pest
760,Melanoplus femurrubrum,Red-legged grasshopper,Orthoptera,Acrididae,Pest
761,Agrotis ipsilon,"Dark Sword-Grass, Black Cutworm, 
Greasy Cutworm, Floodplain Cutworm, 
Ipsilon Dart",Lepidoptera,Noctuidae,Pest
762,Ascalapha odorata,Black Witch Moth,Lepidoptera,Erebidae,Pollinator
763,Lascoria ambigualis,ambiguous moth,Lepidoptera,Erebidae,Pest
764,Rhopalomyia solidaginis,goldenrod bunch gall,Diptera,Cecidomyiidae,Pest
765,Hypena bijugalis,"Dimorphic Hypena Moth, Toothed Snout Moth",Lepidoptera,Erebidae,Pest
766,Pyrausta orphisalis,"orange mint moth, orange-spotted pyrausta,",Lepidoptera,Crambidae,Pest
767,Hyphantria cunea,fall webworm,Lepidoptera,Erebidae,Pest
768,Diaethria anna,Anna's Eighty-Eight,Lepidoptera,Nymphalidae,Pollinator
769,Amphimallon solstitiale,"Summer Chafer, European June Beetle",Coleoptera,Scarabaeidae,Pest
770,Tetraopes tetrophthalmus,Red Milkweed Beetle,Coleoptera,Cerambycidae,Herbivore
771,Leucania diatrecta,,Lepidoptera,Noctuidae,Pest
772,Ligdia adustata,scorched carpet moth,Lepidoptera,Geometridae,Unknown/Not Available
773,Spilosoma congrua,agreeable tiger moth,Lepidoptera,Erebidae,Pollinator
774,Zanclognatha pedipilalis,Grayish Zabclognatha Moth,Lepidoptera,Erebidae,Decomposer
775,Melittia cucurbitae,Squarsh Vine Borer,Lepidoptera,Sesiidae,Pest
776,Cotinis nitida,Green june beetle,Coleoptera,Scarabaeidae,Pest
777,Dysgonia algira,Passenger Moth,Lepidoptera,Erebidae,Pest
778,Orthosia gothica,Hebrew Character,Lepidoptera,Noctuidae,Herbivore
779,Idaea dimidiata,single-dotted wave,Lepidoptera,Geometridae,Unknown/Not Available
780,Boisea trivittata, boxelder bug,Hemiptera,Rhopalidae,Pest
781,Syntomeida epilais,"Polka-dot Wasp Moth, Oleander Moth",Lepidoptera,Erebidae,Pollinator
782,Dasychira chekiangensis,Zhejiang tussock moth,Lepidoptera,Erebidae,Pest
783,Ogdoconta cinereola,Common Pinkband,Lepidoptera,Noctuidae,Pest
784,Hapithus saltator,Jumping Bush Cricket,Orthoptera,Gryllidae,Predator
785,Korscheltellus lupulina,common swift moth,Lepidoptera,Hepialidae,Pest
786,Bagrada hilaris,"bagrada bug, painted bug",Hemiptera,Pentatomidae,Pest
787,Microstylum morosum,Giant Green-Eyed Robber Flu,Diptera,Asilidae,Predator
788,Phyciodes mylitta," the Mylitta crescent, Mylitta crescentspot",Lepidoptera,Nymphalidae,Pollinator
789,Camponotus novaeboracensis,New York carpenter ant,Hymenoptera,Formicidae,Pest
790,Ostrinia nubilalis,the European corn worm or European high-flyer,Lepidoptera,Crambidae,Pest
791,Urbanus procne, Brown longtail,Lepidoptera,Hesperiidae,Pollinator
792,Pachodynerus erynnis,Red and Black Mason Wasp,Hymenoptera,Vespidae,Pollinator
793,Eristalinus taeniops,band-eyed drone fly,Diptera,Syrphidae,Pollinator
794,Anatrytone logan,Delaware Skipper,Lepidoptera,Hesperiidae,Pollinator
795,Eumenes fraternus,potter wasp,Hymenoptera,Vespidae,Predator
796,Celithemis fasciata,banded pennant,Odonata,Libellulidae,Predator
797,Polygonia comma,the eastern comma,Lepidoptera,Nymphalidae,Pollinator
798,Suastus gremius,Indian Palm Bob,Lepidoptera,Hesperiidae,Pollinator
799,Bombus hypnorum, New Garden Bumblebee,Hymenoptera,Apidae,Pollinator
800,Clitarchus hookeri,,Phasmida,Phasmatidae,Unknown/Not Available
801,Metanema inatomaria,Pale Metanema,Lepidoptera,Geometridae,Unknown/Not Available
802,Hemileuca maia,Eastern Buckmoth,Lepidoptera,Saturniidae,Pest
803,Pontia daplidice,Bath white,Lepidoptera,Pieridae,Pollinator
804,Pseudagrion microcephalum," blue sprite, blue grass dart",Odonata,Coenagrionidae,Predator
805,Trypoxylon politum,Organ Pipe Mud Dauber,Hymenoptera,Crabronidae,Predator
806,Pyrausta inornatalis,the inornate pyrausta moth,Lepidoptera,Crambidae,Pest
807,Schizura unicornis,"Unicorn Caterpillar (larva), Unicorn Prominent (adult), Variegated Prominent (adult)",Lepidoptera,Notodontidae,Pest
808,Bombus griseocollis,brown-belted bumblebee,Hymenoptera,Apidae,Pollinator
809,Brintesia circe,great banded grayling,Lepidoptera,Nymphalidae,Pollinator
810,Necrophila americana,American Carrion Beetle,Coleoptera,Silphidae,Decomposer
811,Diachrysia balluca,Green-Patched Looper,Lepidoptera,Noctuidae,Pest
812,Hippotion celerio,"the vine hawk-moth, silver-striped hawk-moth",Lepidoptera,Sphingidae,Pollinator
813,Graphocephala coccinea,"andy-striped leafhopper, red-banded leafhopper, scarlet-and-green leafhopper, red-and-blue leafhopper.",Hemiptera,Cicadellidae,Pest
814,Carcharodus alceae,mallow skipper,Lepidoptera,Hesperiidae,Pollinator
815,Phaedyma columella,short-banded sailor butterfly,Lepidoptera,Nymphalidae,Pollinator
816,Chalcolestes viridis,"willow emerald damselfly, western willow spreadwing.",Odonata,Lestidae,Predator
817,Chiasmia clathrata,Latticed heath,Lepidoptera,Geometridae,Pollinator
818,Chloraspilates bicoloraria,,Lepidoptera,Geometridae,Pest
819,Polyommatus amandus,Amanda's blue,Lepidoptera,Lycaenidae,Pollinator
820,Hesperia comma,"common branded skipper,silver-spotted skipper",Lepidoptera,Hesperiidae,Pollinator
821,Vespula vidua,"Long yellowjacket,Widon Yellowjacket",Hymenoptera,Vespidae,Predator
822,Chlosyne lacinia,"Bordered patch, sunflower patch",Lepidoptera,Nymphalidae,Pollinator
823,Phanogomphus spicatus,dusky clubtail,Odonata,Gomphidae,Predator
824,Orsotriaena medus,Medus Brown,Lepidoptera,Nymphalidae,Pollinator
825,Platynota exasperatana,exasperating platynota moth,Lepidoptera,Tortricidae,Pest
826,Omocestus viridulus,Common Green Grasshopper,Orthoptera,Acrididae,Herbivore
827,Ariadne ariadne,Angled Castor,Lepidoptera,Nymphalidae,Pollinator
828,Adelphocoris lineolatus,"Lucerne Bug, Alfalfa Plant Bug",Hemiptera,Miridae,Pest
829,Lycaena xanthoides,"Lucerne Bug, Alfalfa Plant Bug",Lepidoptera,Lycaenidae,Pest
830,Epiaeschna heros,Swamp Darner,Odonata,Aeshnidae,Predator
831,Libellula fulva,scarce chaser,Odonata,Libellulidae,Predator
832,Myzinum quinquecinctum,Five-Banded Thnnid Wasp,Hymenoptera,Thynnidae,Pollinator
833,Lochmaeus bilineata,double-lined prominent moth,Lepidoptera,Notodontidae,Pest
834,Hymenia perspectalis,spotted beet webworm moth,Lepidoptera,Crambidae,Pest
835,Oecanthus niveus,narrow-winged tree cricket or snowy tree cricket,Orthoptera,Gryllidae,Unknown/Not Available
836,Satyrium liparops,Striped hairstreak,Lepidoptera,Lycaenidae,Pollinator
837,Hypolycaena erylus,Common tit,Lepidoptera,Lycaenidae,Pollinator
838,Orchelimum nigripes,"the black-legged meadow katydid, red-legged meadow grasshopper",Orthoptera,Tettigoniidae,Predator
839,Papaipema pterisii,Bracken Borer Moth,Lepidoptera,Noctuidae,Pest
840,Icaricia lupini,Lupine blue,Lepidoptera,Lycaenidae,Pollinator
841,Pleuroprucha insulsaria,Common tan wave moth,Lepidoptera,Geometridae,Pest
842,Lophocampa annulosa,santa ana tussock moth,Lepidoptera,Erebidae,Pest
843,Oncocera semirubella,Rosy-striped Knot-horn,Lepidoptera,Pyralidae,Pest
844,Trigona fulviventris,"culo-de-vaca, culo-de-señora, mu'ul-kab, culo-de-buey, culo-de-vieja",Hymenoptera,Apidae,Pollinator
845,Ammophila procera,Thread-Waisted Wasp ,Hymenoptera,Sphecidae,Predator
846,Elasmostethus interstinctus,Birch Shieldbug,Hemiptera,Acanthosomatidae,Unknown/Not Available
847,Austrolestes leda,wandering ringtail,Odonata,Lestidae,Predator
848,Episyrphus balteatus,Marmalade Hoverfly,Diptera,Syrphidae,Pollinator
849,Nezara viridula,Southern Green Stink Bug,Hemiptera,Pentatomidae,Pest
850,Libellula depressa,broad-bodied chaser,Odonata,Libellulidae,Predator
851,Acronicta fallax,The Green Marvel,Lepidoptera,Noctuidae,Pest
852,Euproctis chrysorrhoea,brown-tail moth,Lepidoptera,Erebidae,Pest
853,Rhagonycha fulva,common red soldier beetle,Coleoptera,Cantharidae,"Predator, pollinator"
854,Callophrys eryphon,western pine elfin,Lepidoptera,Lycaenidae,Pollinator
855,Paonias excaecata,Blind-eyed Sphinx,Lepidoptera,Sphingidae,Pollinator
856,Calephelis virginiensis, little metalmark,Lepidoptera,Riodinidae,Pollinator
857,Besma quercivoraria,Oak besma,Lepidoptera,Geometridae,Pest
858,Cycloneda munda,polished ladybird beetle,Coleoptera,Coccinellidae,Predator
859,Pyrochroa serraticornis,"Red-headed Cardinal Beetle,Common Cardinal Beetle",Coleoptera,Pyrochroidae,Predator
860,Pieris rapae,cabbage white butterfly,Lepidoptera,Pieridae,Pest
861,Cingilia catenaria,Chain dotted geometer moth,Lepidoptera,Geometridae,Herbivore
862,Ochropleura plecta,"	flame-shouldered dart, Flame Shoulder",Lepidoptera,Noctuidae,Pest
863,Henosepilachna vigintioctopunctata,28-spotted potato ladybird,Coleoptera,Coccinellidae,Pest
864,Panorpa nuptialis,Nuptial Scorpionfly,Mecoptera,Panorpidae,Decomposer
865,Hyalophora euryalus,ceanothus silkmoth,Lepidoptera,Saturniidae,Pollinator
866,Dysdercus cingulatus,Red Cotton Stainer,Hemiptera,Pyrrhocoridae,Pest
867,Papilio demoleus,lime swallowtail,Lepidoptera,Papilionidae,Pest
868,Acanthocephala femorata,Florida Leaf-footed bug,Hemiptera,Coreidae,Pest
869,Agelastica alni,Alder Leaf Beetle,Coleoptera,Chrysomelidae,Pest
870,Exomala orientalis,The Oriental beetle,Coleoptera,Scarabaeidae,Pest
871,Platynota idaeusalis,tufted apple bud moth,Lepidoptera,Tortricidae,Pest
872,Libellula flavida,yellow-sided skimmer,Odonata,Libellulidae,Predator
873,Graptopsaltria nigrofuscata,large brown cicada,Hemiptera,Cicadidae,Unknown/Not Available
874,Pachysphinx modesta,"the modest sphinx, poplar sphinx",Lepidoptera,Sphingidae,Pollinator
875,Diplacodes haematodes,Scarlet Percher,Odonata,Libellulidae,Predator
876,Trithemis festiva,Black Stream Glider,Odonata,Libellulidae,Predator
877,Pachylia ficus,Fig sphinx,Lepidoptera,Sphingidae,Pollinator
878,Zanclognatha laevigata,Litter Moth,Lepidoptera,Erebidae,Decomposer
879,Appias libythea,Striped Albatross,Lepidoptera,Pieridae,Pollinator
880,Hemideina thoracica,the Auckland tree wētā or tokoriro,Orthoptera,Anostostomatidae,"Predator, decomposer"
881,Pogonomyrmex rugosus,rough harvester ant,Hymenoptera,Formicidae,Unknown/Not Available
882,Bombus nevadensis,Nevada bumblebee,Hymenoptera,Apidae,Pollinator
883,Polites peckius,Peck's Skipper,Lepidoptera,Hesperiidae,Pollinator
884,Vanessa cardui,Painted Lady,Lepidoptera,Nymphalidae,Pollinator
885,Thesprotia graminis,American Grass Mantis,Mantodea,Thespidae,Predator
886,Hyppa xylinoides,"common hyppa, cranberry cutworm",Lepidoptera,Noctuidae,Pest
887,Syrbula admirabilis,Admirable Grasshopper,Orthoptera,Acrididae,Herbivore
888,Neotibicen pruinosus,Scissor Grinder,Hemiptera,Cicadidae,Unknown/Not Available
889,Pantala flavescens,the Wandering Glider,Odonata,Libellulidae,"Predator, pollinator"
890,Calephelis nemesis,"fatal metalmark, dusky metalmark",Lepidoptera,Riodinidae,Pollinator
891,Cycnia tenera,dogbane tiger moth,Lepidoptera,Erebidae,Pollinator
892,Probole amicaria,"the friendly probole, redcheeked looper",Lepidoptera,Geometridae,Pest
893,Coenonympha tullia,large heath,Lepidoptera,Nymphalidae,Pollinator
894,Epiblema otiosana,Bidens Borer Moth,Lepidoptera,Tortricidae,Pest
895,Macromia taeniolata,royal river cruiser,Odonata,Macromiidae,Predator
896,Halictus ligatus,,Hymenoptera,Halictidae,Pollinator
897,Diaphania indica,"Cucumber Moth, Cotton Caterpillar",Lepidoptera,Crambidae,Pest
898,Apantesis arge,"Arge Moth, Arge Tiger Moth",Lepidoptera,Erebidae,Pollinator
899,Syritta pipiens,Thick-legged Hoverfly,Diptera,Syrphidae,Pollinator
900,Camnula pellucida,"Clear-winged, Warrior grasshopper",Orthoptera,Acrididae,Pest
901,Spodoptera ornithogalli,"Yellow-striped Armyworm, Cotton Cutworm",Lepidoptera,Noctuidae,Pest
902,Choristoneura rosaceana,"Oblique banded leaf roller, rosaceous 
leaf roller",Lepidoptera,Tortricidae,Pest
903,Taeniopoda eques,Western Horse Lubber Grasshopper,Orthoptera,Romaleidae,Pest
904,Endothenia hebesana,Verbena Bud Moth,Lepidoptera,Tortricidae,Pest
905,Chrysomela scripta,cottonwood leaf beetle,Coleoptera,Chrysomelidae,Pest
906,Papilio anactus,Dainty Swallowtail,Lepidoptera,Papilionidae,Pollinator
907,Stauropus fagi,Lobster Moth,Lepidoptera,Notodontidae,Pest
908,Erynnis icelus,"dreamy duskywing, aspen dusky wing",Lepidoptera,Hesperiidae,Pollinator
909,Machimia tentoriferella,gold-striped leaftier moth,Lepidoptera,Depressariidae,Pest
910,Tanaecia pelea,Malay Viscount,Lepidoptera,Nymphalidae,Pollinator
911,Pieris marginalis,Margined white,Lepidoptera,Pieridae,Pollinator
912,Neurothemis fluctuans,"Red Grasshawk, Common Parasol, Grasshawk Dragonfly",Odonata,Libellulidae,Predator
913,Euparthenos nubilis,,Lepidoptera,Erebidae,Pollinator
914,Oligoria maculata,Twin-spot Skipper,Lepidoptera,Hesperiidae,Pollinator
915,Lestes barbarus,southern emerald damselfly,Odonata,Lestidae,Predator
916,Orthetrum triangulare,blue-tailed forest hawk,Odonata,Libellulidae,Predator
917,Papilio troilus,"spicebush swallowtail, green-clouded butterfly",Lepidoptera,Papilionidae,Pollinator
918,Orthosia incerta,the clouded drab,Lepidoptera,Noctuidae,Pollinator
919,Oncometopia orbona,the broad-headed sharpshooter,Hemiptera,Cicadellidae,Pest
920,Galleria mellonella,"greater wax moth, honeycomb moth",Lepidoptera,Pyralidae,Pest
921,Hyles euphorbiae,spurge hawkmoth,Lepidoptera,Sphingidae,Pollinator
922,Gluphisia septentrionis,Common Gluphisia,Lepidoptera,Notodontidae,Pest
923,Anasa tristis,Squash Bug,Hemiptera,Coreidae,Pest
924,Asterocampa leilia,"Empress Leilia, Leilia Hackberry Butterfly, 
Desert Hackberry",Lepidoptera,Nymphalidae,Pollinator
925,Calopteron reticulatum,reticulated net-winged beetle,Coleoptera,Lycidae,Predator
926,Sympetrum semicinctum,Band-winged Meadowhawk,Odonata,Libellulidae,Predator
927,Actias luna,"Luna Moth, American Moon Moth",Lepidoptera,Saturniidae,Pollinator
928,Iridomyrmex purpureus,Meat ant,Hymenoptera,Formicidae,Predator
929,Panthea furcilla,tufted white pine caterpillar,Lepidoptera,Noctuidae,Pest
930,Aphylla angustifolia,Broad-Striped Forceptail,Odonata,Gomphidae,Pollinator
931,Cordulia shurtleffii,American emerald,Odonata,Corduliidae,Predator
932,Dythemis nigrescens,Black Setwing,Odonata,Libellulidae,Predator
933,Synchlora aerata,"Wavy-lined Emerald Moth, Camouflaged Looper",Lepidoptera,Geometridae,Pest
934,Lasiommata megera,wall brown butterfly,Lepidoptera,Nymphalidae,Pollinator
935,Anagrapha falcifera,Celery Hooper Moth,Lepidoptera,Noctuidae,Pest
936,Colias interior,pink-edged sulphur,Lepidoptera,Pieridae,Pollinator
937,Polistes humilis,"Australian Paper Wasp,Tasmanian Paper Wasp",Hymenoptera,Vespidae,Predator
938,Ceriagrion cerinorubellum,"Ornate Coraltail, Damselfly",Odonata,Coenagrionidae,Predator
939,Cordulegaster obliqua,Arrowhead spiketail,Odonata,Cordulegastridae,Predator
940,Trypocopris vernalis,"Spring Dumbledor, Spring Dor Beetle",Coleoptera,Geotrupidae,Decomposer
941,Erebia aethiops,Scotch Argus,Lepidoptera,Nymphalidae,Pollinator
942,Burnsius orcus,Orcus checkered skipper,Lepidoptera,Hesperiidae,Pollinator
943,Panchlora nivea,Cuban cockroach,Blattodea,Blaberidae,Pest
944,Protaetia cuprea,copper chafer,Coleoptera,Scarabaeidae,"Decomposer, sometimes pest"
945,Acrida cinerea,Chinese Grasshopper,Orthoptera,Acrididae,Pest
946,Elasmucha grisea,Parent Bug,Hemiptera,Acanthosomatidae,Unknown/Not Available
947,Micronia aculeata,Asian Spotted Swallow Tail Moth,Lepidoptera,Uraniidae,Pollinator
948,Trithemis annulata,"Violet Dropwing, Violet-marked Darter, Purple-blushed Darter, Plum-coloured Dropwing",Odonata,Libellulidae,Predator
949,Lexias pardalis,common archduke butterfly,Lepidoptera,Nymphalidae,Pollinator
